"DataCode","Rectype","RecYear","Date","Watershed","Transect","TrapStation","Species","SpecimenNo1","SpecimenNo2","VoucherNo","RecaptureStatus","Disposition","TotalLength","TailLength","HFLength","EarLength","Weight","Sex","Age","ReprodCondition","Comments"
"csm08",1,2016,"7/14/2016","4B","E","17","BLHY","",NA,"NK269728","N","V",109,19,4,"12","12.4","F","A","CSN",""
"csm08",1,2016,"7/21/2016","4B","W","12","BLHY","",NA,"NK269855","N","V",98,23,NA,"13","10","M","A","NS",""
"csm08",1,2016,"7/22/2016","4B","W","15","BLHY","",NA,"NK269856","N","V",105,24,NA,"14","10.5","M","A","NS","M?"
"csm08",1,2016,"7/22/2016","4B","W","18","BLHY","",NA,"NK269857","N","V",107,22,NA,"14","22","M","A","NS",""
"csm08",1,2016,"7/23/2016","4B","W","18","BLHY","",NA,"NK269858","N","V",107,17,NA,"13","13","M","A","S",""
"csm08",1,2016,"7/13/2016","4F","E","11","BLHY","",NA,"NK269690","N","V",109,21,5,"13","13.2","F","A","CSN",""
"csm08",1,2016,"7/14/2016","4F","E","16","BLHY","",NA,"NK269722","N","V",95,12,5,"12",".","M","A","S","missing weight"
"csm08",1,2016,"7/12/2016","4F","E","19","BLHY","",NA,"NK269665","N","V",108,24,3,"14","13.7","F","A","OEL",""
"csm08",1,2016,"7/22/2016","4F","W","4","BLHY","",NA,"NK269860","N","V",109,23,NA,"14","12","F","A","OEN",""
"csm08",1,2016,"7/29/2016","R20A","E","20","BLHY","",NA,"NK269833","N","V",99,22,4,"14","12.7","F","A","OSN",""
"csm08",1,2016,"8/5/2016","R20A","W","13","BLHY","",NA,"NK269859","N","V",101,22,NA,"14","11","M","A","",""
"csm08",1,2016,"7/23/2016","4B","W","3","CHHI","230",NA,"","N","R",NA,110,28,"13","48","F","A","CEN",""
"csm08",1,2016,"7/27/2016","R1A","N","6","CHHI","",NA,"NK269796","N","V",198,99,11,"26","31","M","A","S",""
"csm08",1,2016,"8/5/2016","R20A","W","17","CHHI","",NA,"NK269880","N","V",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/22/2016","1D","E","2","MIOC","278",NA,"","N","R",NA,33,19,"","44","F","A","CEN",""
"csm08",1,2016,"7/23/2016","1D","E","2","MIOC","212",NA,"","N","R",NA,38,19,"","38","M","A","S",""
"csm08",1,2016,"7/23/2016","1D","E","2","MIOC","277",NA,"","N","R",NA,26,17,"","12","M","Juv","NS",""
"csm08",1,2016,"7/23/2016","1D","E","4","MIOC","266",NA,"","N","R",NA,28,17,"","10","F","Juv","CSN",""
"csm08",1,2016,"7/23/2016","1D","E","7","MIOC","155",NA,"","N","R",NA,35,19,".","48","F","A","CEN","missing for ear length"
"csm08",1,2016,"7/23/2016","1D","E","7","MIOC","230",NA,"","N","R",NA,40,20,".","45","M","A","S","missing for ear length"
"csm08",1,2016,"7/23/2016","1D","E","10","MIOC","269",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/21/2016","1D","E","11","MIOC","269",NA,"","N","R",NA,34,20,"13","34","F","A","CSN",""
"csm08",1,2016,"7/22/2016","1D","E","11","MIOC","236",NA,"","N","R",NA,38,20,"","40","M","A","S",""
"csm08",1,2016,"7/22/2016","1D","E","11","MIOC","269",NA,"","Y","R",NA,NA,NA,"","","","","",""
"csm08",1,2016,"7/22/2016","1D","E","12","MIOC","211",NA,"","N","R",NA,34,20,"","38","F","A","",""
"csm08",1,2016,"7/23/2016","1D","E","12","MIOC","170",NA,"","Y","R",NA,NA,NA,"","","","","",""
